0.078185, 0.133369
0.792904, 0.281799
0.334316, 0.026927
0.438347, 0.895800
0.599668, 0.220998
0.107758, 0.684305
0.086885, 0.148294
0.470989, 0.595440
0.714761, 0.812386
0.703977, 0.824298
0.467313, 0.234700
0.404744, 0.568510
0.331893, 0.722809
0.133124, 0.119350
0.588702, 0.059141
0.642923, 0.939554
0.870918, 0.618477
0.544122, 0.473546
0.306100, 0.144561
0.575455, 0.376010
0.329578, 0.846168
0.909230, 0.791993
0.840130, 0.459538
0.995341, 0.280820
0.612104, 0.319600
0.637895, 0.590704
0.397807, 0.440778
0.998404, 0.231147
0.157593, 0.897949
0.326131, 0.845836
0.683233, 0.470427
0.544647, 0.632253
0.639468, 0.813682
0.087855, 0.308799
0.095372, 0.811767
0.338107, 0.585464
0.723823, 0.838963
0.726520, 0.334308
0.715785, 0.933923
0.445510, 0.762431
0.167052, 0.657909
0.426160, 0.640769
0.677920, 0.093870
0.820532, 0.961142
0.910173, 0.765276
0.584928, 0.100489
0.073795, 0.164969
0.607520, 0.003974
0.128556, 0.340324
0.917937, 0.538556
0.900661, 0.933416
0.566090, 0.196185
0.551769, 0.609535
0.939138, 0.489972
0.345853, 0.512274
0.911874, 0.902430
0.702715, 0.381450
0.200662, 0.177326
0.543032, 0.851250
0.119883, 0.196509
0.060978, 0.720264
0.473520, 0.852358
0.253275, 0.557150
0.435568, 0.771860
0.589393, 0.336887
0.163192, 0.348505
0.763884, 0.691136
0.139283, 0.000862
0.827047, 0.827069
0.644444, 0.561254
0.982965, 0.184974
0.469717, 0.025616
0.852447, 0.534685
0.792465, 0.470413
0.502204, 0.474763
0.029780, 0.630303
0.047941, 0.764227
0.535148, 0.872424
0.484833, 0.951931
0.922208, 0.547240
0.831709, 0.877165
0.016595, 0.566515
0.912485, 0.799325
0.148087, 0.147141
0.449900, 0.620878
0.750360, 0.553569
0.316610, 0.503602
0.546905, 0.140504
0.754879, 0.864959
0.971538, 0.561160
0.474751, 0.018970
0.452563, 0.324246
0.551709, 0.312994
0.093953, 0.070656
0.453363, 0.688808
0.197589, 0.174476
0.980788, 0.629524
0.869195, 0.007481
0.138736, 0.388439
0.245785, 0.117484
0.118663, 0.627489
0.261180, 0.946065
0.644002, 0.723739
0.713190, 0.779089
0.095210, 0.521552
0.084323, 0.158270
0.136759, 0.469558
0.567538, 0.204368
0.092299, 0.416950
0.190839, 0.423628
0.537101, 0.083258
0.857229, 0.911673
